Semana,Ciro_Gomes,Jair_Bolsonaro,Haddad,Marina_Silva
2017-09-10,3,5,3,1
2017-09-17,3,7,3,1
2017-09-24,4,7,3,1
2017-10-01,3,8,3,1
2017-10-08,3,8,3,1
2017-10-15,5,7,3,2
2017-10-22,7,9,4,1
2017-10-29,6,8,2,1
2017-11-05,6,6,2,1
2017-11-12,5,6,2,1
2017-11-19,5,9,2,1
2017-11-26,4,8,3,1
2017-12-03,4,8,2,1
2017-12-10,4,7,2,1
2017-12-17,4,6,2,1
2017-12-24,4,6,4,1
2017-12-31,7,8,4,1
2018-01-07,5,12,4,1
2018-01-14,5,8,6,1
2018-01-21,12,10,4,2
2018-01-28,11,8,3,3
2018-02-04,6,9,3,2
2018-02-11,7,10,3,3
2018-02-18,6,8,3,2
2018-02-25,6,7,3,2
2018-03-04,8,8,3,2
2018-03-11,7,9,3,2
2018-03-18,5,9,3,2
2018-03-25,6,10,3,2
2018-04-01,11,10,4,3
2018-04-08,36,14,4,4
2018-04-15,9,12,3,5
2018-04-22,9,11,3,4
2018-04-29,9,7,6,3
2018-05-06,12,7,3,3
2018-05-13,11,7,3,2
2018-05-20,14,8,3,3
2018-05-27,29,11,3,3
2018-06-03,17,10,4,3
2018-06-10,15,9,4,4
2018-06-17,17,7,3,3
2018-06-24,11,7,3,3
2018-07-01,12,8,4,3
2018-07-08,11,8,4,3
2018-07-15,23,11,3,3
2018-07-22,19,22,4,5
2018-07-29,44,47,5,12
2018-08-05,55,43,32,16
2018-08-12,34,38,18,12
2018-08-19,34,39,28,20
2018-08-26,100,97,31,49
2018-09-02,72,58,68,32
